"","Country.Code","percountry_indicators"
"1","ABW",657
"2","AFG",1282
"3","AGO",1373
"4","ALB",1420
"5","AND",554
"6","ARE",1089
"7","ARG",1339
"8","ARM",1398
"9","ASM",386
"10","ATG",874
"11","AUS",1121
"12","AUT",1151
"13","AZE",1399
"14","BDI",1331
"15","BEL",1160
"16","BEN",1350
"17","BFA",1373
"18","BGD",1428
"19","BGR",1307
"20","BHR",1120
"21","BHS",1037
"22","BIH",1311
"23","BLR",1343
"24","BLZ",1286
"25","BMU",695
"26","BOL",1392
"27","BRA",1378
"28","BRB",1099
"29","BRN",1063
"30","BTN",1297
"31","BWA",1329
"32","CAF",1231
"33","CAN",1127
"34","CHE",1130
"35","CHI",212
"36","CHL",1309
"37","CHN",1261
"38","CIV",1390
"39","CMR",1408
"40","COD",1371
"41","COG",1367
"42","COL",1423
"43","COM",1172
"44","CPV",1251
"45","CRI",1406
"46","CUB",985
"47","CUW",524
"48","CYM",611
"49","CYP",1216
"50","CZE",1216
"51","DEU",1182
"52","DJI",1209
"53","DMA",961
"54","DNK",1166
"55","DOM",1403
"56","DZA",1269
"57","ECU",1394
"58","EGY",1400
"59","ERI",1054
"60","ESP",1191
"61","EST",1201
"62","ETH",1396
"63","FIN",1151
"64","FJI",1260
"65","FRA",1156
"66","FRO",362
"67","FSM",900
"68","GAB",1273
"69","GBR",1149
"70","GEO",1396
"71","GHA",1435
"72","GIB",319
"73","GIN",1351
"74","GMB",1359
"75","GNB",1233
"76","GNQ",1007
"77","GRC",1183
"78","GRD",967
"79","GRL",420
"80","GTM",1391
"81","GUM",404
"82","GUY",1200
"83","HKG",938
"84","HND",1420
"85","HRV",1254
"86","HTI",1241
"87","HUN",1250
"88","IDN",1425
"89","IMN",224
"90","IND",1416
"91","IRL",1145
"92","IRN",1287
"93","IRQ",1312
"94","ISL",1119
"95","ISR",1192
"96","ITA",1176
"97","JAM",1325
"98","JOR",1359
"99","JPN",1102
"100","KAZ",1359
"101","KEN",1404
"102","KGZ",1371
"103","KHM",1373
"104","KIR",1029
"105","KNA",891
"106","KOR",1210
"107","KWT",1140
"108","LAO",1303
"109","LBN",1262
"110","LBR",1220
"111","LBY",1015
"112","LCA",1132
"113","LIE",433
"114","LKA",1407
"115","LSO",1336
"116","LTU",1248
"117","LUX",1140
"118","LVA",1260
"119","MAC",850
"120","MAF",135
"121","MAR",1357
"122","MCO",405
"123","MDA",1412
"124","MDG",1375
"125","MDV",1179
"126","MEX",1413
"127","MHL",959
"128","MKD",1317
"129","MLI",1371
"130","MLT",1165
"131","MMR",1285
"132","MNE",1215
"133","MNG",1403
"134","MNP",256
"135","MOZ",1300
"136","MRT",1283
"137","MUS",1300
"138","MWI",1272
"139","MYS",1299
"140","NAM",1342
"141","NCL",575
"142","NER",1378
"143","NGA",1294
"144","NIC",1388
"145","NLD",1171
"146","NOR",1157
"147","NPL",1384
"148","NRU",700
"149","NZL",1099
"150","OMN",1159
"151","PAK",1424
"152","PAN",1338
"153","PER",1391
"154","PHL",1412
"155","PLW",789
"156","PNG",1269
"157","POL",1265
"158","PRI",666
"159","PRK",567
"160","PRT",1213
"161","PRY",1389
"162","PSE",1106
"163","PYF",584
"164","QAT",1089
"165","ROU",1359
"166","RUS",1301
"167","RWA",1394
"168","SAU",1185
"169","SDN",1296
"170","SEN",1425
"171","SGP",1138
"172","SLB",1191
"173","SLE",1319
"174","SLV",1402
"175","SMR",685
"176","SOM",1024
"177","SRB",1393
"178","SSD",1070
"179","STP",1081
"180","SUR",1133
"181","SVK",1222
"182","SVN",1195
"183","SWE",1166
"184","SWZ",1274
"185","SXM",355
"186","SYC",1076
"187","SYR",1161
"188","TCA",519
"189","TCD",1281
"190","TGO",1385
"191","THA",1386
"192","TJK",1371
"193","TKM",914
"194","TLS",1252
"195","TON",1153
"196","TTO",1171
"197","TUN",1367
"198","TUR",1368
"199","TUV",756
"200","TZA",1408
"201","UGA",1376
"202","UKR",1396
"203","URY",1326
"204","USA",1176
"205","UZB",1340
"206","VCT",1039
"207","VEN",1192
"208","VGB",358
"209","VIR",382
"210","VNM",1333
"211","VUT",1199
"212","WSM",1208
"213","XKX",763
"214","YEM",1250
"215","ZAF",1392
"216","ZMB",1367
"217","ZWE",1395
