"","Country.Code","datatopic","percountry_indicators"
"1","ABW","Economic Policy & Debt: Balance of payments: Capital & financial account",11
"2","ABW","Economic Policy & Debt: Balance of payments: Current account: Balances",4
"3","ABW","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",22
"4","ABW","Economic Policy & Debt: Balance of payments: Current account: Transfers",7
"5","ABW","Economic Policy & Debt: Balance of payments: Reserves & other items",5
"6","ABW","Economic Policy & Debt: National accounts: Adjusted savings & income",22
"7","ABW","Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita",2
"8","ABW","Economic Policy & Debt: National accounts: Growth rates",2
"9","ABW","Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators",2
"10","ABW","Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators",11
"11","ABW","Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP",12
"12","ABW","Economic Policy & Debt: National accounts: Local currency at current prices: Value added",5
"13","ABW","Economic Policy & Debt: National accounts: Shares of GDP & other",16
"14","ABW","Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators",5
"15","ABW","Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP",8
"16","ABW","Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added",4
"17","ABW","Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators",9
"18","ABW","Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP",9
"19","ABW","Economic Policy & Debt: National accounts: US$ at current prices: Value added",4
"20","ABW","Economic Policy & Debt: Official development assistance",20
"21","ABW","Economic Policy & Debt: Purchasing power parity",13
"22","ABW","Education: Efficiency",21
"23","ABW","Education: Inputs",34
"24","ABW","Education: Outcomes",31
"25","ABW","Education: Participation",44
"26","ABW","Environment: Agricultural production",4
"27","ABW","Environment: Biodiversity & protected areas",7
"28","ABW","Environment: Density & urbanization",7
"29","ABW","Environment: Emissions",14
"30","ABW","Environment: Energy production & use",6
"31","ABW","Environment: Land use",19
"32","ABW","Environment: Natural resources contribution to GDP",6
"33","ABW","Financial Sector: Access",2
"34","ABW","Financial Sector: Assets",8
"35","ABW","Financial Sector: Exchange rates & prices",8
"36","ABW","Financial Sector: Interest rates",4
"37","ABW","Financial Sector: Monetary holdings (liabilities)",4
"38","ABW","Health: Disease prevention",4
"39","ABW","Health: Health systems",1
"40","ABW","Health: Mortality",7
"41","ABW","Health: Population: Dynamics",6
"42","ABW","Health: Population: Structure",58
"43","ABW","Health: Reproductive health",3
"44","ABW","Health: Risk factors",3
"45","ABW","Infrastructure: Communications",13
"46","ABW","Infrastructure: Technology",3
"47","ABW","Infrastructure: Transportation",4
"48","ABW","Private Sector & Trade: Exports",22
"49","ABW","Private Sector & Trade: Imports",22
"50","ABW","Private Sector & Trade: Tariffs",18
"51","ABW","Private Sector & Trade: Total merchandise trade",1
"52","ABW","Private Sector & Trade: Trade price indices",2
"53","ABW","Private Sector & Trade: Travel & tourism",9
"54","ABW","Public Sector: Conflict & fragility",3
"55","ABW","Public Sector: Defense & arms trade",1
"56","ABW","Public Sector: Policy & institutions",38
"57","ABW","Social Protection & Labor: Economic activity",3
"58","ABW","Social Protection & Labor: Labor force structure",7
"59","ABW","Social Protection & Labor: Migration",3
"60","ABW","Social Protection & Labor: Unemployment",9
"61","ABW","Trade",5
"62","AFG","Economic Policy & Debt: Balance of payments: Capital & financial account",11
"63","AFG","Economic Policy & Debt: Balance of payments: Current account: Balances",4
"64","AFG","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",22
